ANID,2016 Comp Group,Alternate ID,Laboratory,Investigator,Affiliation,Source/Excavator/Museum,Region,Country,State/Province,Estate,Site Name,Latitude,Longitude,UTM Zone,Northing,Easting,Material,Ware,Ceramic Type,Vessel Form,Exterior Decoration,Interior Decoration,Paste Color,Major Temper,Minor Temper,Culture,Context,Provenience,Period,Date,Picture,Comments,Notes,Compositional Group,Spare ANID,Long RDF,Long Date,Short RDF,Short Date,As,La,Lu,Nd,Sm,U,Yb,Ce,Co,Cr,Cs,Eu,Fe,Hf,Ni,Rb,Sb,Sc,Sr,Ta,Tb,Th,Zn,Zr,Al,Ba,Ca,Dy,K,Mn,Na,Ti,V
JAM144,JAM21,1212-1-M-22-DRS--00076,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 7,Unid: Utilitarian,n/a,n/a,n/a,White rock,"Quartz, clear",Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM144,OMB1,10/13/2013,ODT2-S,10/10/2013,8.9193,14.2887,0.1909,9.3876,1.9846,1.1570,1.1742,24.9235,10.7488,40.5026,1.8741,0.5588,46922.3,3.9196,0.00,51.98,0.9600,15.3534,210.88,0.7039,0.2299,3.8764,113.22,87.00,92930.7,874.5,6818.5,2.0138,14748.8,446.18,23587.3,5291.1,118.51
JAM145,JAM21,1212-1-O-21-DRS--00006,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 5,Unidentifiable,n/a,n/a,n/a,White rock,"Quartz, clear",Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM145,OMB1,10/13/2013,ODT2-S,10/10/2013,8.9237,13.6206,0.1935,10.6252,2.3558,1.4125,1.1845,22.9972,10.9680,35.6818,1.7947,0.6824,42319.0,3.5628,0.00,48.98,1.0057,14.0457,227.26,0.6254,0.3021,3.5472,61.05,78.86,94468.0,593.5,5205.5,1.4716,15086.0,413.14,25031.6,4309.2,110.57
JAM146,JAM21,1212-1-O-21-DRS--00007,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 6,Unidentifiable,n/a,n/a,n/a,White rock,"Quartz, clear",Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM146,OMB1,10/13/2013,ODT2-S,10/10/2013,5.5818,13.3131,0.2024,9.1462,2.3680,1.0099,1.1343,23.7716,13.5872,36.5543,2.0077,0.6826,43673.5,3.7340,0.00,50.10,1.0636,14.0800,174.57,0.6378,0.2721,3.6257,58.25,93.70,98883.1,578.9,4608.5,1.7993,16116.9,511.99,24499.9,4823.0,113.13
JAM147,JAM21,1212-1-P-47-DRS--00122,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 4,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM147,OMB1,10/13/2013,ODT2-S,10/10/2013,12.0434,12.6717,0.1864,9.2310,2.2060,1.1932,1.2570,18.4124,7.0175,38.4747,1.9386,0.6052,47583.2,3.8243,0.00,47.96,1.4063,15.8588,361.56,0.6637,0.3083,4.1263,51.40,82.06,107694.2,417.7,4864.4,1.9585,15421.6,222.52,21012.1,5169.4,155.90
JAM148,JAM21,1212-1-Q-06-DRS--00004,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 4,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM148,OMB1,10/13/2013,ODT2-S,10/10/2013,11.9214,18.6847,0.2339,14.6071,3.2509,1.1273,1.4040,34.3577,16.7639,41.2715,2.0538,0.9496,46340.2,3.8094,0.00,53.41,2.6613,16.1731,149.42,0.6556,0.4405,3.8597,62.28,90.49,99932.1,653.9,7633.3,2.3923,17613.9,729.59,22848.1,4920.2,133.96
JAM149,JAM21,1212-1-R-30-DRS--00053,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 5,Unid: Utilitarian,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM149,OMB1,10/13/2013,ODT2-S,10/10/2013,9.0178,11.0086,0.1606,10.7032,1.8863,1.1794,1.1301,20.5006,10.3590,35.4610,0.9033,0.5437,44832.5,3.8274,0.00,38.33,0.9516,12.8636,219.36,0.5968,0.2442,3.4872,67.24,99.35,89002.9,965.7,8612.6,1.4402,13155.2,528.27,23705.7,4243.3,91.12
JAM150,JAM21,1212-1-U-02-DRS--00007,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 6,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM150,OMB1,10/13/2013,ODT2-S,10/10/2013,7.5007,12.1040,0.2007,9.3081,2.0780,0.9083,1.1822,23.7416,11.9801,35.6686,1.3135,0.6029,42374.7,3.5144,0.00,40.85,0.9474,13.1227,168.25,0.6333,0.2129,3.4264,71.62,81.67,93056.6,1004.9,6454.0,1.6220,14474.6,561.04,24809.0,4559.6,99.48
JAM151,JAM21,1212-1-U-02-DRS--00008,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 5,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM151,OMB2,10/13/2013,ODT2-S,10/10/2013,8.1493,16.0866,0.2001,9.5961,2.7640,1.1614,1.2377,32.2159,17.1536,41.0367,2.1130,0.7906,45807.1,4.0647,0.00,60.08,1.0564,16.3236,154.40,0.6777,0.2586,4.0991,102.46,118.91,94452.9,709.1,6062.3,2.0491,15938.5,867.00,24143.0,4298.5,112.58
JAM152,UNAS,1212-1-V-04-DRS--00001,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 6,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM152,OMB2,10/13/2013,ODT2-S,10/10/2013,6.0466,10.3090,0.1497,4.1516,1.6795,1.1498,1.0267,17.3850,7.1321,37.4540,1.0152,0.5060,42363.0,3.7006,0.00,43.15,0.8875,13.8716,158.40,0.5897,0.2227,3.9663,70.20,66.34,102977.3,676.1,5363.7,1.4336,13843.7,300.96,22789.7,4585.3,79.71
JAM153,JAM21,1212-1-V-33-DRS--00100,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 4,Unid: Utilitarian,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM153,OMB2,10/13/2013,ODT2-S,10/10/2013,9.3868,12.5872,0.1672,6.4596,2.2011,1.1858,1.1684,21.6050,8.6438,38.2451,1.6294,0.6518,46695.1,3.9148,0.00,47.01,3.0870,16.8617,194.44,0.6081,0.1968,4.0775,72.33,125.27,96587.7,855.4,6284.3,1.6148,16891.7,269.43,22646.7,4950.2,128.57
JAM154,JAM22,1212-1-V-33-DRS--00101,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 2,Unidentifiable,n/a,Slip,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM154,OMB2,10/13/2013,ODT2-S,10/10/2013,4.3613,10.2511,0.1642,7.9368,1.8297,1.5187,1.0709,17.4469,6.0109,37.5230,1.9701,0.4807,44062.4,5.6182,0.00,50.93,0.6380,13.8722,314.20,0.7956,0.3157,5.8837,84.51,180.79,84726.6,1235.3,12962.5,1.1088,14867.1,319.41,14177.1,5523.1,146.45
JAM155,JAM21,1212-1-V-33-DRS--00102,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 5,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM155,OMB2,10/13/2013,ODT2-S,10/10/2013,8.3293,14.1253,0.1759,9.2749,2.5205,1.1195,1.1708,27.3992,13.9438,40.6007,1.3807,0.7740,43792.1,3.6211,0.00,41.73,0.9137,14.8001,148.15,0.6046,0.2914,3.5972,72.94,120.29,95096.9,849.4,8026.3,2.1045,15592.5,540.98,23755.0,5287.6,103.75
JAM156,JAM21,1212-1-W-20-DRS--00001,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 3,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM156,OMB2,10/13/2013,ODT2-S,10/10/2013,10.5774,18.5530,0.2006,11.9628,3.5263,0.9202,1.2394,33.5780,17.2954,36.0679,1.8740,1.0209,40493.4,3.5575,0.00,47.60,2.5950,15.1411,177.73,0.5964,0.4789,3.6345,74.25,112.55,89684.0,810.0,6392.9,2.3036,18242.8,457.50,27950.1,4239.1,112.46
JAM157,JAM21,1212-1-X-25-DRS--00017,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 6,Unid: Utilitarian,n/a,n/a,n/a,White rock,"Black, crypto-crystalline",Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM157,OMB2,10/13/2013,ODT2-S,10/10/2013,7.4658,12.9969,0.1415,7.2803,2.2703,0.9027,1.0576,25.1838,12.6651,35.7731,1.4107,0.6622,38451.3,3.6827,0.00,46.31,0.9431,11.9907,201.19,0.6137,0.2852,3.5434,64.31,108.52,92081.3,690.2,5951.7,1.6684,14653.3,533.26,28196.7,4416.6,96.58
JAM158,JAM21,1212-1-Y-25-DRS--00021,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 1,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM158,OMB2,10/13/2013,ODT2-S,10/10/2013,8.9341,12.1706,0.1797,8.6779,2.0884,0.7655,1.0003,21.3107,7.7821,35.7697,1.3920,0.5829,40574.3,3.7612,0.00,43.69,0.9819,13.9843,200.01,0.5617,0.1703,3.5109,61.28,122.10,96744.0,742.4,5866.6,1.4583,15715.7,262.13,25124.9,4938.0,115.39
JAM159,JAM21,1212-1-Y-32-DRS--00007,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 4,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM159,OMB2,10/13/2013,ODT2-S,10/10/2013,8.5866,10.1019,0.1471,8.6416,1.8001,0.5821,1.2206,18.0358,6.9682,35.3190,1.3135,0.5181,43819.3,3.6070,0.00,47.00,1.1818,13.8334,186.58,0.5594,0.1319,3.6378,54.55,93.50,101434.1,1013.1,7829.3,1.5659,14213.6,285.23,19416.0,4611.4,118.24
JAM160,UNAS,1212-2-A-13-DRS--00010,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 6,Unidentifiable,n/a,n/a,n/a,White rock,"Quartz, clear",Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM160,OMB2,10/13/2013,ODT2-S,10/10/2013,5.8345,14.0670,0.1855,9.8070,2.7258,0.9244,1.2087,21.9612,9.9106,35.4587,1.3475,0.7751,38541.9,3.4673,0.00,41.07,0.7232,13.4548,157.61,0.5461,0.3189,3.5916,81.05,97.62,94101.7,1263.4,6014.5,1.8097,15441.5,272.64,24365.7,4515.1,83.29
JAM161,JAM21,1212-2-A-26-DRS--00014,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 5,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM161,OMC2,10/20/2013,ODT2-S,10/10/2013,9.7002,10.6491,0.1717,6.9803,1.8746,0.8124,1.1080,19.2392,7.1385,37.7659,1.4582,0.5347,43317.1,3.9182,0.00,45.81,0.9552,13.8118,180.63,0.6057,0.2156,3.6390,65.67,86.53,98655.5,846.6,6795.4,1.3347,15449.1,312.76,21977.3,4796.0,142.65
JAM162,UNAS,1212-2-B-24-DRS--00024,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 7,Unid: Utilitarian,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM162,OMC2,10/20/2013,ODT2-S,10/10/2013,7.8089,12.0099,0.1768,7.9394,2.0140,1.2095,1.0009,19.1436,8.1435,39.8938,1.7955,0.5934,48358.3,4.1620,0.00,57.36,1.0547,14.9534,147.11,0.6150,0.3263,4.1261,57.56,96.78,101529.9,479.5,4239.2,1.6303,15316.2,260.31,21621.2,4365.1,131.10
JAM163,JAM21,1212-2-C-25-DRS--00017,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 7,Unid: Utilitarian,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM163,OMC2,10/20/2013,ODF1-S,10/11/2013,10.9397,14.2561,0.1861,10.1797,2.6819,1.2515,1.2785,28.0768,13.7112,37.1804,1.9448,0.7849,42437.3,3.7264,0.00,50.74,1.0926,14.0683,192.09,0.6594,0.3676,3.6410,57.89,99.63,97297.5,466.6,5514.0,1.8046,16889.7,616.87,26330.8,5156.7,120.46
JAM164,JAM21,1212-2-D-13-DRS--00009,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 7,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM164,OMC2,10/20/2013,ODF1-S,10/11/2013,6.7089,11.9681,0.1464,6.4388,1.9411,1.1571,0.9497,19.8978,8.2483,35.9289,1.3991,0.5536,43042.1,3.8133,0.00,43.70,1.1622,13.8280,165.76,0.6375,0.2546,3.7435,68.84,72.30,101597.2,599.7,5374.5,1.5924,14236.3,401.20,23611.2,4588.5,87.69
JAM165,JAM21,1212-2-E-11-DRS--00017,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 7,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM165,OMC2,10/20/2013,ODF1-S,10/11/2013,4.3230,14.2715,0.1696,8.6137,2.4349,1.0988,1.1466,25.7721,12.3524,38.3968,1.5974,0.6963,41745.4,3.9927,0.00,48.71,1.2481,13.5928,233.03,0.6294,0.2977,3.5652,55.93,94.86,92823.4,510.5,5236.3,1.7625,16051.2,443.17,26211.5,4627.2,122.78
JAM166,JAM15,1212-2-E-20-DRS--00002,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 8,Unid: Utilitarian,n/a,n/a,n/a,n/a,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM166,OMC2,10/20/2013,ODF1-S,10/11/2013,14.5853,47.0847,0.5004,37.0497,8.9783,2.9406,3.2659,120.6015,34.3982,148.7357,8.8479,1.9342,52219.5,7.2181,77.21,130.32,0.7246,18.9513,102.07,1.3318,1.2324,11.8440,98.00,159.82,93646.4,474.9,6300.8,6.7662,26302.0,451.78,3177.1,6712.6,177.51
JAM167,JAM21,1212-2-F-15-DRS--00004,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 7,Storage Vessel,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM167,OMC2,10/20/2013,ODF1-S,10/11/2013,5.4214,12.8798,0.1723,9.9821,2.1749,0.8350,1.0748,24.1189,9.1586,35.9592,0.8025,0.6361,41919.0,3.7508,0.00,34.20,1.0376,12.7379,193.33,0.6194,0.2590,3.4790,74.30,86.31,92905.9,887.2,6191.2,1.8067,12298.7,337.96,25309.3,5458.4,87.05
JAM168,JAM21,1212-2-I-10-DRS--00014,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 4,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM168,OMC2,10/20/2013,ODF1-S,10/11/2013,9.8872,14.2497,0.1994,9.8027,2.6612,1.0123,1.2078,27.1122,13.1637,39.5855,1.6470,0.7635,44960.0,3.8048,0.00,46.24,1.0655,15.4966,204.20,0.5948,0.3731,3.6676,76.95,86.80,95558.7,741.6,7270.1,1.8237,16548.9,502.03,23954.9,5226.3,125.30
JAM169,JAM21,1212-2-I-10-DRS--00015,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 4,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM169,OMC2,10/20/2013,ODF1-S,10/11/2013,8.9695,19.0586,0.2298,15.8965,3.7346,1.1556,1.4381,35.4340,16.7805,41.2540,1.8803,1.0896,45555.3,4.1268,0.00,52.11,0.9801,16.4486,186.57,0.7033,0.5298,4.1936,78.09,87.33,96117.7,788.5,7132.5,2.8636,17023.8,711.22,24134.8,4839.4,120.56
JAM170,JAM21,1212-3-B-03-DRS--00008,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 3,Unidentifiable,n/a,n/a,n/a,White rock,"Quartz, clear",Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM170,OMC2,10/20/2013,ODF1-S,10/11/2013,7.0647,12.2700,0.1651,10.0346,2.1834,0.9977,1.0046,21.0702,7.4531,37.1141,1.3701,0.6115,44395.7,3.5589,0.00,41.14,0.9603,15.3350,194.09,0.6669,0.2802,3.6000,78.69,60.96,93469.6,814.3,6932.6,1.8846,14506.4,239.77,24697.0,5408.8,120.08
JAM171,JAM22,1212-3-B-03-DRS--00010,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 1,Unidentifiable,n/a,n/a,n/a,White rock,"Quartz, clear",Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM171,OMD2,10/28/2013,ODF1-S,10/11/2013,4.7066,12.4815,0.2114,6.7685,2.3140,1.2231,1.2128,22.0129,8.7750,41.9912,1.7216,0.5997,45212.2,5.6914,0.00,62.56,0.6725,15.0346,286.73,0.6395,0.4816,5.2633,72.45,120.43,86130.7,1555.6,13127.0,1.8871,19687.8,402.90,15546.2,5226.4,153.81
JAM172,JAM21,1212-3-G-04-DRS--00026,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 8,Unid: Utilitarian,n/a,n/a,n/a,n/a,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM172,OMD2,10/28/2013,ODF1-S,10/11/2013,9.5708,19.9998,0.2253,13.5049,3.4985,1.0229,1.8580,38.1435,19.5222,37.3192,1.9031,1.0453,46068.9,3.8428,0.00,53.12,1.0700,16.4251,204.46,0.7207,0.4395,3.8327,113.23,95.89,96261.9,980.3,10109.5,2.6958,18223.2,1226.76,24659.1,4599.3,108.93
JAM173,JAM21,1212-3-W-03-DRS--00005,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 5,Unidentifiable,n/a,n/a,n/a,White rock,"Quartz, clear",Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM173,OMD2,10/28/2013,ODF1-S,10/11/2013,5.2573,14.1331,0.1687,11.2965,2.4331,0.8631,1.3666,25.6973,13.2029,34.5280,1.8013,0.7396,41714.6,3.6531,0.00,48.29,0.8924,13.8307,132.03,0.6551,0.4961,3.6201,58.59,107.99,97865.7,578.1,5114.9,1.9012,15178.9,569.95,26042.4,5382.0,124.34
JAM174,UNAS,1212-3-X-01-DRS--00023,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 2,Unidentifiable,Slip,n/a,n/a,White rock,"Quartz, clear",Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM174,OMD2,10/28/2013,ODF1-S,10/11/2013,4.3752,11.1427,0.1964,7.9152,1.8443,1.8688,1.2884,18.7149,5.4034,39.1753,1.6023,0.4551,44807.8,8.3075,0.00,45.05,0.5657,13.7173,208.85,0.8141,0.5654,5.6814,83.27,193.36,89703.8,1944.6,14286.5,1.5913,17911.4,463.31,13927.7,5237.3,154.99
JAM175,JAM22,1212-3-X-06-DRS--00020,MURR (SRM-1633b),"Galle, Jillian",The Digital Archaeological Archive of Comparative Slavery,DAACS,Caribbean,Jamaica,St. Andrew,Papine,Papine Village,18.0081,-76.7458,18 N,1991949,315170,ceramic,"Coarse Earthenware, unidentified",Type 5,Unidentifiable,n/a,n/a,n/a,White rock,n/a,Slave Village on British  Sugar Estate,Shovel Test Pit,n/a,n/a,100 to 200 YBP,Yes,,,,JAM175,OMD2,10/28/2013,ODF1-S,10/11/2013,12.0205,13.9816,0.1937,6.0742,2.5847,0.9649,1.3018,25.5540,11.0914,44.2874,1.7176,0.7071,52872.2,4.2542,0.00,55.40,1.1366,16.8580,174.36,0.7991,0.5839,4.5201,74.71,104.87,97166.2,736.8,4739.0,1.4752,15653.4,311.45,24573.2,4865.7,105.40
